home_team_id,home_team_name,away_team_id,away_team_name,total_matches,home_goals,away_goals,total_goals,goal_difference,home_wins,away_wins,draws,avg_goals_per_match,tournament_id
T-03,Argentina,T-46,Mexico,4,13,5,18,8,0.0,0.0,4.0,4.5,WC-2022
T-03,Argentina,T-50,Nigeria,3,4,1,5,3,2.0,0.0,1.0,1.6666666666666667,WC-1994
T-03,Argentina,T-50,Nigeria,3,4,1,5,3,2.0,0.0,1.0,1.6666666666666667,WC-2002
T-03,Argentina,T-50,Nigeria,3,4,1,5,3,2.0,0.0,1.0,1.6666666666666667,WC-2010
T-03,Argentina,T-71,South Korea,2,7,2,9,5,1.0,0.0,1.0,4.5,WC-1986
T-03,Argentina,T-71,South Korea,2,7,2,9,5,1.0,0.0,1.0,4.5,WC-2010
T-03,Argentina,T-75,Switzerland,2,3,0,3,3,0.0,1.0,1.0,1.5,WC-1966
T-03,Argentina,T-75,Switzerland,2,3,0,3,3,0.0,1.0,1.0,1.5,WC-2014
T-03,Argentina,T-86,West Germany,3,4,5,9,-1,0.0,0.0,3.0,3.0,WC-1958
T-03,Argentina,T-86,West Germany,3,4,5,9,-1,0.0,0.0,3.0,3.0,WC-1966
T-03,Argentina,T-86,West Germany,3,4,5,9,-1,0.0,0.0,3.0,3.0,WC-1986
T-04,Australia,T-44,Japan,2,3,2,5,1,0.0,1.0,1.0,2.5,WC-2006
T-04,Australia,T-44,Japan,2,3,2,5,1,0.0,1.0,1.0,2.5,WC-2015
T-04,Australia,T-53,Norway,2,3,2,5,1,1.0,0.0,1.0,2.5,WC-2007
T-04,Australia,T-53,Norway,2,3,2,5,1,1.0,0.0,1.0,2.5,WC-2011
T-04,Australia,T-74,Sweden,2,2,4,6,-2,1.0,0.0,1.0,3.0,WC-1999
T-04,Australia,T-74,Sweden,2,2,4,6,-2,1.0,0.0,1.0,3.0,WC-2015
T-05,Austria,T-21,Czechoslovakia,2,5,1,6,4,1.0,0.0,1.0,3.0,WC-1954
T-05,Austria,T-21,Czechoslovakia,2,5,1,6,4,1.0,0.0,1.0,3.0,WC-1990
T-05,Austria,T-30,France,2,3,3,6,0,1.0,0.0,1.0,3.0,WC-1934
T-05,Austria,T-30,France,2,3,3,6,0,1.0,0.0,1.0,3.0,WC-1982
T-06,Belgium,T-27,El Salvador,2,4,0,4,4,1.0,1.0,0.0,2.0,WC-1970
T-06,Belgium,T-27,El Salvador,2,4,0,4,4,1.0,1.0,0.0,2.0,WC-1982
T-06,Belgium,T-46,Mexico,2,3,4,7,-1,0.0,0.0,2.0,3.5,WC-1986
T-06,Belgium,T-46,Mexico,2,3,4,7,-1,0.0,0.0,2.0,3.5,WC-1998
T-06,Belgium,T-47,Morocco,2,1,2,3,-1,0.0,0.0,2.0,1.5,WC-1994
T-06,Belgium,T-47,Morocco,2,1,2,3,-1,0.0,0.0,2.0,1.5,WC-2022
T-06,Belgium,T-62,Russia,2,4,2,6,2,1.0,0.0,1.0,3.0,WC-2002
