team_id,tournament_id,total_matches,home_matches,performance,year,host_country,home_win_percentage,performance_score,tournaments_participated
T-83,WC-1999,6,6,final,1999,United States,100.0,,19
T-83,WC-2002,5,1,quarter-finals,2002,"Korea, Japan",20.0,4.0,19
T-83,WC-2003,6,5,third-place match,2003,United States,83.33333333333334,,19
T-83,WC-2006,3,1,group stage,2006,Germany,33.33333333333333,6.0,19
T-83,WC-2007,6,3,third-place match,2007,China,50.0,,19
T-83,WC-2010,4,2,round of 16,2010,South Africa,50.0,5.0,19
T-83,WC-2011,6,2,final,2011,Germany,33.33333333333333,,19
T-83,WC-2014,4,2,round of 16,2014,Brazil,50.0,5.0,19
T-83,WC-2015,7,5,final,2015,Canada,71.42857142857143,,19
T-83,WC-2019,7,3,final,2019,France,42.857142857142854,,19
T-83,WC-2022,4,1,round of 16,2022,Qatar,25.0,5.0,19
T-84,WC-1930,4,4,final,1930,Uruguay,100.0,,14
T-84,WC-1950,4,4,final round,1950,Brazil,100.0,,14
T-84,WC-1954,5,3,third-place match,1954,Switzerland,60.0,,14
T-84,WC-1962,3,1,group stage,1962,Chile,33.33333333333333,6.0,14
T-84,WC-1966,4,1,quarter-finals,1966,England,25.0,4.0,14
T-84,WC-1970,6,2,third-place match,1970,Mexico,33.33333333333333,,14
T-84,WC-1974,3,1,group stage,1974,West Germany,33.33333333333333,6.0,14
T-84,WC-1986,4,1,round of 16,1986,Mexico,25.0,5.0,14
T-84,WC-1990,4,1,round of 16,1990,Italy,25.0,5.0,14
T-84,WC-2002,3,1,group stage,2002,"Korea, Japan",33.33333333333333,6.0,14
T-84,WC-2010,7,5,third-place match,2010,South Africa,71.42857142857143,,14
T-84,WC-2014,4,2,round of 16,2014,Brazil,50.0,5.0,14
T-84,WC-2018,5,4,quarter-finals,2018,Russia,80.0,4.0,14
T-84,WC-2022,3,1,group stage,2022,Qatar,33.33333333333333,6.0,14
T-85,WC-1958,5,1,quarter-finals,1958,Sweden,20.0,4.0,2
T-85,WC-2022,3,2,group stage,2022,Qatar,66.66666666666666,6.0,2
T-86,WC-1954,6,5,final,1954,Switzerland,83.33333333333334,,10
T-86,WC-1958,6,3,third-place match,1958,Sweden,50.0,,10
T-86,WC-1962,4,3,quarter-finals,1962,Chile,75.0,4.0,10
T-86,WC-1966,6,4,final,1966,England,66.66666666666666,,10
T-86,WC-1970,6,5,third-place match,1970,Mexico,83.33333333333334,,10
T-86,WC-1974,7,2,final,1974,West Germany,28.57142857142857,,10
T-86,WC-1978,6,3,second group stage,1978,Argentina,50.0,,10
T-86,WC-1982,7,6,final,1982,Spain,85.71428571428571,,10
T-86,WC-1986,7,2,final,1986,Mexico,28.57142857142857,,10
T-86,WC-1990,7,6,final,1990,Italy,85.71428571428571,,10
T-87,WC-1930,3,2,semi-finals,1930,Uruguay,66.66666666666666,3.0,9
T-87,WC-1950,3,2,group stage,1950,Brazil,66.66666666666666,6.0,9
T-87,WC-1954,3,1,quarter-finals,1954,Switzerland,33.33333333333333,4.0,9
T-87,WC-1958,4,2,quarter-finals,1958,Sweden,50.0,4.0,9
T-87,WC-1962,6,3,third-place match,1962,Chile,50.0,,9
T-87,WC-1974,6,2,second group stage,1974,West Germany,33.33333333333333,,9
T-87,WC-1982,3,1,group stage,1982,Spain,33.33333333333333,6.0,9
T-87,WC-1990,5,2,quarter-finals,1990,Italy,40.0,4.0,9
T-87,WC-1998,4,1,round of 16,1998,France,25.0,5.0,9
T-88,WC-1974,3,2,group stage,1974,West Germany,66.66666666666666,6.0,1
