id,matches_played,goals_scored,total_yellow_cards,total_red_cards,tournaments_participated,team_id,family_name,given_name,role,matches_managed,matches_officiated,award_name
P-01165,11.0,11.0,1.0,0.0,2,T-57,Majewski,Stefan,Defender,,,
P-01169,1.0,0.0,0.0,0.0,1,T-83,Jóhannsson,Aron,Forward,,,
P-01172,2.0,2.0,0.0,0.0,1,T-10,Zhechev,Dobromir,Defender,,,
P-01173,0.0,4.0,0.0,0.0,1,,Hidegkuti,Nándor,Forward,,,
P-01196,0.0,0.0,0.0,0.0,0,,Erlić,Martin,Defender,,,
P-01211,0.0,0.0,0.0,0.0,0,,Gutiérrez,Miguel,Forward,,,
P-01212,0.0,0.0,0.0,0.0,0,,Goodson,Clarence,Defender,,,
P-01224,0.0,0.0,0.0,0.0,0,,Shawky,Ayman,Forward,,,
P-01235,0.0,0.0,0.0,0.0,0,,Kotkov,Nikola,Forward,,,
P-01246,0.0,0.0,0.0,0.0,0,,Rafaat,Ismail,Midfielder,,,
P-01247,3.0,0.0,0.0,0.0,1,T-13,Zamora,Daniela,Forward,,,
P-01249,10.0,10.0,1.0,0.0,2,T-28,Ferdinand,Rio,Defender,,,
P-01256,0.0,0.0,0.0,0.0,0,,Zafirov,Adalbert,Defender,,,
P-01258,3.0,0.0,0.0,0.0,1,T-59,Hassan,Abdelkarim,Midfielder,,,
P-01259,4.0,0.0,1.0,0.0,1,T-17,Jara,Claudio,Forward,,,
P-01272,0.0,0.0,0.0,0.0,0,,Kringen,Gøril,Defender,,,
P-01275,1.0,0.0,0.0,0.0,1,T-74,Olsson,Ing-Marie,Goalkeeper,,,
P-01278,0.0,0.0,0.0,0.0,0,,Cortés,Roberto,Goalkeeper,,,
P-01287,0.0,0.0,0.0,0.0,0,,Paine,Terry,Forward,,,
P-01292,0.0,0.0,0.0,0.0,0,,Aquilani,Alberto,Midfielder,,,
P-01298,5.0,10.0,0.0,0.0,1,T-87,Jozić,Davor,Defender,,,
P-01302,8.0,0.0,2.0,0.0,2,T-11,Feudjio,Raissa,Midfielder,,,
P-01311,1.0,0.0,1.0,0.0,1,T-41,Montella,Vincenzo,Forward,,,
P-01320,2.0,0.0,0.0,0.0,1,T-44,Yokoyama,Kumi,Forward,,,
P-01321,3.0,0.0,0.0,0.0,1,T-29,Chapeh,Laetitia,Defender,,,
P-01347,3.0,0.0,1.0,0.0,1,T-50,Idowu,Brian,Defender,,,
P-01355,0.0,0.0,0.0,0.0,0,,Gould,Jonathan,Goalkeeper,,,
P-01357,0.0,0.0,0.0,0.0,0,,Remondini,Leandro,Midfielder,,,
P-01364,1.0,0.0,0.0,0.0,1,T-50,Oparaku,Mobi,Defender,,,
P-01374,3.0,0.0,0.0,0.0,1,T-04,Duus,Bryony,Midfielder,,,
P-01384,3.0,0.0,0.0,0.0,1,T-17,Sánchez,Carol,Defender,,,
P-01401,0.0,0.0,0.0,0.0,0,,Akoto,Eric,Defender,,,
P-01406,0.0,0.0,0.0,0.0,0,,Ilku,István,Goalkeeper,,,
P-01410,0.0,0.0,0.0,0.0,0,,Mencel,János,Midfielder,,,
P-01416,11.0,0.0,0.0,0.0,3,T-73,Alba,Jordi,Defender,,,
P-01434,0.0,0.0,0.0,0.0,0,,Piątek,Leonard,Forward,,,
P-01454,3.0,3.0,0.0,0.0,1,T-51,Ji,Yun-nam,Defender,,,
P-01462,4.0,8.0,2.0,0.0,1,T-65,Camara,Henri,Forward,,,
P-01505,7.0,0.0,1.0,0.0,2,T-16,Arias,Santiago,Defender,,,
P-01514,1.0,0.0,0.0,0.0,1,T-22,Laursen,Jacob,Defender,,,
P-01517,2.0,0.0,0.0,0.0,2,T-50,Chukwudi,Ogonna,Midfielder,,,
P-01521,0.0,0.0,0.0,0.0,0,,Cuburu,Samuel,Midfielder,,,
P-01529,0.0,0.0,0.0,0.0,0,,Stierli,Xavier,Midfielder,,,
P-01538,4.0,0.0,0.0,0.0,1,T-16,Mejía,Alexander,Midfielder,,,
P-01560,0.0,0.0,0.0,0.0,0,,Ruffier,Stéphane,Goalkeeper,,,
P-01561,0.0,0.0,0.0,0.0,0,,Been,Dick,Defender,,,
P-01567,4.0,0.0,0.0,0.0,1,T-73,Paños,Sandra,Goalkeeper,,,
P-01582,13.0,26.0,2.0,0.0,2,T-48,Haan,Arie,Midfielder,,,
P-01594,0.0,0.0,0.0,0.0,0,,Cáceda,Carlos,Goalkeeper,,,
P-01597,3.0,0.0,0.0,0.0,1,T-88,Massamba,Kilasu,Midfielder,,,
P-01608,5.0,0.0,1.0,0.0,2,T-09,Solange,not applicable,Defender,,,
P-01618,0.0,2.0,0.0,0.0,1,,Toro,Jorge,Midfielder,,,
P-01632,0.0,0.0,0.0,0.0,0,,Fiala,Jean-Pierre,Midfielder,,,
P-01665,0.0,0.0,0.0,0.0,0,,Mogilevets,Pavel,Midfielder,,,
P-01674,1.0,0.0,0.0,0.0,1,T-17,Bernard,Kurt,Forward,,,
P-01678,3.0,6.0,2.0,0.0,1,T-75,Knup,Adrian,Forward,,,
P-01706,3.0,0.0,0.0,0.0,1,T-06,Mpenza,Émile,Forward,,,
P-01717,0.0,0.0,0.0,0.0,0,,González,Mónica,Forward,,,
P-01719,0.0,0.0,0.0,0.0,0,,Flores,Miguel,Defender,,,
P-01721,3.0,0.0,0.0,0.0,1,T-22,Hansen,Jannie,Defender,,,
P-01726,0.0,0.0,0.0,0.0,0,,Bíró,Mihály,Forward,,,
P-01729,0.0,0.0,0.0,0.0,0,,Mvogo,Yvon,Goalkeeper,,,
P-01730,4.0,0.0,1.0,0.0,1,T-46,Salcedo,Carlos,Defender,,,
P-01735,3.0,0.0,0.0,0.0,1,T-51,Kim,Un-ju,Midfielder,,,
P-01736,0.0,0.0,0.0,0.0,0,,Pagnanini,Rubén,Defender,,,
P-01739,0.0,0.0,0.0,0.0,0,,Lin,Chao-chun,Forward,,,
P-01760,0.0,0.0,0.0,0.0,0,,Friese,Werner,Goalkeeper,,,
P-01779,4.0,0.0,1.0,0.0,1,T-09,Mirandinha,not applicable,Forward,,,
P-01792,0.0,0.0,0.0,0.0,0,,Horvath,Ethan,Goalkeeper,,,
P-01806,1.0,0.0,0.0,0.0,1,T-62,Tetradze,Omari,Defender,,,
P-01835,5.0,0.0,2.0,0.0,2,T-46,Aguilar,Paul,Defender,,,
P-01853,0.0,0.0,0.0,0.0,0,,Hucles,Angela,Midfielder,,,
P-01864,0.0,1.0,0.0,0.0,1,,Solymosi,Ernő,Defender,,,
P-01889,0.0,0.0,0.0,0.0,0,,Céspedes,Casiano,Defender,,,
P-01892,0.0,0.0,0.0,0.0,0,,Gyger,Rudolf,Defender,,,
P-01895,0.0,0.0,0.0,0.0,0,,Dirickx,Henri,Defender,,,
P-01918,0.0,0.0,0.0,0.0,0,,Johnsson,Carl,Midfielder,,,
P-01925,3.0,0.0,0.0,0.0,1,T-12,Larin,Cyle,Forward,,,
P-01929,1.0,0.0,0.0,0.0,1,T-53,Skarbø,Erika,Goalkeeper,,,
P-01930,3.0,0.0,1.0,0.0,1,T-59,Ali,Almoez,Forward,,,
P-01933,2.0,0.0,0.0,0.0,1,T-25,Minda,Oswaldo,Midfielder,,,
P-01935,0.0,0.0,0.0,0.0,0,,Baran,Stanisław,Forward,,,
P-01939,1.0,0.0,0.0,0.0,1,T-09,Ceni,Rogério,Goalkeeper,,,
P-01945,10.0,30.0,9.0,0.0,3,T-32,Ayew,André,Forward,,,
P-01949,0.0,0.0,0.0,0.0,0,,Ben Mouza,Mohamed,Forward,,,
P-01955,0.0,0.0,0.0,0.0,0,,Bartlett,Traci,Defender,,,
P-01959,0.0,0.0,0.0,0.0,0,,Belyayev,Vladimir,Goalkeeper,,,
P-01972,0.0,0.0,0.0,0.0,0,,Welkenhuysen,Félix,Midfielder,,,
P-01974,0.0,0.0,0.0,0.0,0,,Baker,George,Midfielder,,,
