home_team_id,away_team_id,home_team_name,away_team_name,total_matches,total_goals,tournament_id
T-16,T-28,Colombia,England,2,4,WC-2018
T-17,T-09,Costa Rica,Brazil,2,8,WC-2002
T-17,T-09,Costa Rica,Brazil,2,8,WC-2015
T-18,T-46,Croatia,Mexico,2,5,WC-2002
T-18,T-46,Croatia,Mexico,2,5,WC-2014
T-19,T-61,Cuba,Romania,2,9,WC-1938
T-22,T-04,Denmark,Australia,2,7,WC-1995
T-22,T-04,Denmark,Australia,2,7,WC-2018
T-22,T-30,Denmark,France,2,2,WC-2002
T-22,T-30,Denmark,France,2,2,WC-2018
T-22,T-49,Denmark,New Zealand,2,5,WC-1991
T-22,T-49,Denmark,New Zealand,2,5,WC-2007
T-28,T-03,England,Argentina,4,13,WC-1962
T-28,T-03,England,Argentina,4,13,WC-1966
T-28,T-03,England,Argentina,4,13,WC-2007
T-28,T-03,England,Argentina,4,13,WC-2019
T-28,T-06,England,Belgium,3,10,WC-1954
T-28,T-06,England,Belgium,3,10,WC-1990
T-28,T-06,England,Belgium,3,10,WC-2018
T-28,T-12,England,Canada,2,8,WC-1995
T-28,T-12,England,Canada,2,8,WC-2015
T-28,T-21,England,Czechoslovakia,2,3,WC-1970
T-28,T-21,England,Czechoslovakia,2,3,WC-1982
T-28,T-30,England,France,4,11,WC-1966
T-28,T-30,England,France,4,11,WC-1982
T-28,T-30,England,France,4,11,WC-2011
T-28,T-30,England,France,4,11,WC-2022
T-28,T-46,England,Mexico,2,5,WC-1966
T-28,T-46,England,Mexico,2,5,WC-2015
T-28,T-55,England,Paraguay,2,4,WC-1986
T-28,T-55,England,Paraguay,2,4,WC-2006
T-28,T-58,England,Portugal,2,3,WC-1966
T-28,T-58,England,Portugal,2,3,WC-2006
T-28,T-74,England,Sweden,2,5,WC-2002
T-28,T-74,England,Sweden,2,5,WC-2019
T-28,T-83,England,United States,3,5,WC-2010
T-28,T-83,England,United States,3,5,WC-2019
T-28,T-83,England,United States,3,5,WC-2022
T-30,T-04,France,Australia,2,8,WC-2018
T-30,T-04,France,Australia,2,8,WC-2022
T-30,T-06,France,Belgium,2,5,WC-1938
T-30,T-06,France,Belgium,2,5,WC-2018
T-30,T-09,France,Brazil,2,5,WC-2003
T-30,T-09,France,Brazil,2,5,WC-2019
T-30,T-18,France,Croatia,2,9,WC-1998
T-30,T-18,France,Croatia,2,9,WC-2018
T-30,T-22,France,Denmark,2,6,WC-1998
T-30,T-22,France,Denmark,2,6,WC-2022
T-30,T-31,France,Germany,2,7,WC-2011
T-30,T-31,France,Germany,2,7,WC-2014
T-30,T-46,France,Mexico,4,14,WC-1930
T-30,T-46,France,Mexico,4,14,WC-1954
T-30,T-46,France,Mexico,4,14,WC-1966
T-30,T-46,France,Mexico,4,14,WC-2010
T-30,T-52,France,Northern Ireland,2,9,WC-1958
T-30,T-52,France,Northern Ireland,2,9,WC-1982
T-30,T-55,France,Paraguay,2,11,WC-1958
T-30,T-55,France,Paraguay,2,11,WC-1998
T-30,T-70,France,South Africa,2,6,WC-1998
T-30,T-70,France,South Africa,2,6,WC-2010
T-30,T-71,France,South Korea,4,10,WC-2003
T-30,T-71,France,South Korea,4,10,WC-2006
T-30,T-71,France,South Korea,4,10,WC-2015
T-30,T-71,France,South Korea,4,10,WC-2019
T-30,T-83,France,United States,2,7,WC-2011
T-30,T-83,France,United States,2,7,WC-2019
T-30,T-86,France,West Germany,2,11,WC-1958
T-30,T-86,France,West Germany,2,11,WC-1986
T-31,T-03,Germany,Argentina,3,14,WC-2006
T-31,T-03,Germany,Argentina,3,14,WC-2007
T-31,T-03,Germany,Argentina,3,14,WC-2014
T-31,T-06,Germany,Belgium,2,12,WC-1934
T-31,T-06,Germany,Belgium,2,12,WC-1994
T-31,T-09,Germany,Brazil,3,10,WC-1999
T-31,T-09,Germany,Brazil,3,10,WC-2002
T-31,T-09,Germany,Brazil,3,10,WC-2007
T-31,T-12,Germany,Canada,2,8,WC-2003
T-31,T-12,Germany,Canada,2,8,WC-2011
T-31,T-14,Germany,China,2,2,WC-1995
T-31,T-14,Germany,China,2,2,WC-2019
T-31,T-28,Germany,England,3,9,WC-1995
T-31,T-28,Germany,England,3,9,WC-2010
T-31,T-28,Germany,England,3,9,WC-2015
T-31,T-41,Germany,Italy,2,4,WC-1999
T-31,T-41,Germany,Italy,2,4,WC-2006
T-31,T-44,Germany,Japan,5,10,WC-1995
T-31,T-44,Germany,Japan,5,10,WC-2003
T-31,T-44,Germany,Japan,5,10,WC-2007
T-31,T-44,Germany,Japan,5,10,WC-2011
T-31,T-44,Germany,Japan,5,10,WC-2022
T-31,T-46,Germany,Mexico,3,10,WC-1998
T-31,T-46,Germany,Mexico,3,10,WC-1999
T-31,T-46,Germany,Mexico,3,10,WC-2018
T-31,T-50,Germany,Nigeria,3,8,WC-1991
T-31,T-50,Germany,Nigeria,3,8,WC-2011
T-31,T-50,Germany,Nigeria,3,8,WC-2019
T-31,T-53,Germany,Norway,3,7,WC-1995
T-31,T-53,Germany,Norway,3,7,WC-2007
T-31,T-53,Germany,Norway,3,7,WC-2015
T-31,T-58,Germany,Portugal,2,8,WC-2006
T-31,T-58,Germany,Portugal,2,8,WC-2014
T-31,T-71,Germany,South Korea,2,6,WC-1994
T-31,T-71,Germany,South Korea,2,6,WC-2002
T-31,T-73,Germany,Spain,3,4,WC-1994
T-31,T-73,Germany,Spain,3,4,WC-2010
T-31,T-73,Germany,Spain,3,4,WC-2019
T-31,T-74,Germany,Sweden,6,19,WC-1934
T-31,T-74,Germany,Sweden,6,19,WC-2003
T-31,T-74,Germany,Sweden,6,19,WC-2006
T-31,T-74,Germany,Sweden,6,19,WC-2015
T-31,T-74,Germany,Sweden,6,19,WC-2018
T-31,T-74,Germany,Sweden,6,19,WC-2019
T-31,T-83,Germany,United States,3,10,WC-1991
T-31,T-83,Germany,United States,3,10,WC-1998
T-31,T-83,Germany,United States,3,10,WC-2002
T-32,T-04,Ghana,Australia,3,10,WC-2003
T-32,T-04,Ghana,Australia,3,10,WC-2007
T-32,T-04,Ghana,Australia,3,10,WC-2010
T-32,T-83,Ghana,United States,2,6,WC-2006
T-32,T-83,Ghana,United States,2,6,WC-2014
T-33,T-50,Greece,Nigeria,2,5,WC-1994
T-33,T-50,Greece,Nigeria,2,5,WC-2010
T-36,T-09,Hungary,Brazil,2,10,WC-1954
T-36,T-09,Hungary,Brazil,2,10,WC-1966
T-36,T-10,Hungary,Bulgaria,2,11,WC-1962
T-36,T-10,Hungary,Bulgaria,2,11,WC-1966
T-41,T-03,Italy,Argentina,2,5,WC-1982
T-41,T-03,Italy,Argentina,2,5,WC-1986
T-41,T-05,Italy,Austria,4,6,WC-1934
T-41,T-05,Italy,Austria,4,6,WC-1978
T-41,T-05,Italy,Austria,4,6,WC-1990
T-41,T-05,Italy,Austria,4,6,WC-1998
T-41,T-09,Italy,Brazil,3,9,WC-1938
T-41,T-09,Italy,Brazil,3,9,WC-1982
T-41,T-09,Italy,Brazil,3,9,WC-2019
T-41,T-11,Italy,Cameroon,2,5,WC-1982
T-41,T-11,Italy,Cameroon,2,5,WC-1998
T-41,T-13,Italy,Chile,2,6,WC-1966
T-41,T-13,Italy,Chile,2,6,WC-1998
T-41,T-21,Italy,Czechoslovakia,2,5,WC-1934
T-41,T-21,Italy,Czechoslovakia,2,5,WC-1990
T-41,T-30,Italy,France,5,11,WC-1938
T-41,T-30,Italy,France,5,11,WC-1978
T-41,T-30,Italy,France,5,11,WC-1986
T-41,T-30,Italy,France,5,11,WC-1998
T-41,T-30,Italy,France,5,11,WC-2006
T-41,T-36,Italy,Hungary,2,10,WC-1938
T-41,T-36,Italy,Hungary,2,10,WC-1978
T-41,T-46,Italy,Mexico,2,7,WC-1970
T-41,T-46,Italy,Mexico,2,7,WC-1994
T-41,T-48,Italy,Netherlands,2,5,WC-1978
T-41,T-48,Italy,Netherlands,2,5,WC-2019
T-41,T-53,Italy,Norway,3,5,WC-1938
T-41,T-53,Italy,Norway,3,5,WC-1994
T-41,T-53,Italy,Norway,3,5,WC-1998
T-41,T-55,Italy,Paraguay,2,4,WC-1950
T-41,T-55,Italy,Paraguay,2,4,WC-2010
T-41,T-73,Italy,Spain,3,6,WC-1934
T-41,T-73,Italy,Spain,3,6,WC-1994
T-41,T-83,Italy,United States,3,11,WC-1934
T-41,T-83,Italy,United States,3,11,WC-1990
T-41,T-83,Italy,United States,3,11,WC-2006
