match_id,home_team_id,home_team_name,away_team_id,away_team_name,tournament_id,home_team_score,away_team_score
M-1990-15,T-87,Yugoslavia,T-16,Colombia,WC-1990,1,0
M-1990-16,T-41,Italy,T-83,United States,WC-1990,1,0
M-1990-17,T-05,Austria,T-21,Czechoslovakia,WC-1990,0,1
M-1990-19,T-09,Brazil,T-17,Costa Rica,WC-1990,1,0
M-1990-24,T-71,South Korea,T-73,Spain,WC-1990,1,3
M-1990-30,T-41,Italy,T-21,Czechoslovakia,WC-1990,2,0
M-1990-31,T-09,Brazil,T-64,Scotland,WC-1990,1,0
M-1990-34,T-71,South Korea,T-84,Uruguay,WC-1990,0,1
M-1990-39,T-09,Brazil,T-03,Argentina,WC-1990,0,1
M-1990-40,T-86,West Germany,T-48,Netherlands,WC-1990,2,1
M-1990-42,T-41,Italy,T-84,Uruguay,WC-1990,2,0
M-1990-43,T-73,Spain,T-87,Yugoslavia,WC-1990,1,2
M-1990-44,T-28,England,T-06,Belgium,WC-1990,1,0
M-1990-49,T-03,Argentina,T-41,Italy,WC-1990,1,1
M-1990-50,T-86,West Germany,T-28,England,WC-1990,1,1
M-1990-52,T-86,West Germany,T-03,Argentina,WC-1990,1,0
M-1991-01,T-14,China,T-53,Norway,WC-1991,4,0
M-1991-02,T-31,Germany,T-50,Nigeria,WC-1991,4,0
M-1991-03,T-22,Denmark,T-49,New Zealand,WC-1991,3,0
M-1991-04,T-44,Japan,T-09,Brazil,WC-1991,0,1
M-1991-05,T-74,Sweden,T-83,United States,WC-1991,2,3
M-1991-09,T-14,China,T-22,Denmark,WC-1991,2,2
M-1991-10,T-09,Brazil,T-83,United States,WC-1991,0,5
M-1991-11,T-44,Japan,T-74,Sweden,WC-1991,0,8
M-1991-13,T-09,Brazil,T-74,Sweden,WC-1991,0,2
M-1991-14,T-44,Japan,T-83,United States,WC-1991,0,3
M-1991-15,T-14,China,T-49,New Zealand,WC-1991,4,1
M-1991-16,T-53,Norway,T-22,Denmark,WC-1991,2,1
M-1991-18,T-41,Italy,T-31,Germany,WC-1991,0,2
M-1991-20,T-14,China,T-74,Sweden,WC-1991,0,1
M-1991-21,T-53,Norway,T-41,Italy,WC-1991,3,2
M-1991-24,T-31,Germany,T-83,United States,WC-1991,2,5
M-1991-25,T-74,Sweden,T-31,Germany,WC-1991,4,0
M-1991-26,T-53,Norway,T-83,United States,WC-1991,1,2
M-1994-02,T-73,Spain,T-71,South Korea,WC-1994,2,2
M-1994-06,T-06,Belgium,T-47,Morocco,WC-1994,1,0
M-1994-12,T-31,Germany,T-73,Spain,WC-1994,1,1
M-1994-13,T-50,Nigeria,T-10,Bulgaria,WC-1994,3,0
M-1994-15,T-83,United States,T-16,Colombia,WC-1994,2,1
M-1994-16,T-41,Italy,T-53,Norway,WC-1994,1,0
M-1994-19,T-09,Brazil,T-11,Cameroon,WC-1994,3,0
M-1994-23,T-03,Argentina,T-50,Nigeria,WC-1994,2,1
M-1994-28,T-31,Germany,T-71,South Korea,WC-1994,3,2
M-1994-29,T-41,Italy,T-46,Mexico,WC-1994,1,1
M-1994-32,T-09,Brazil,T-74,Sweden,WC-1994,1,1
M-1994-35,T-03,Argentina,T-10,Bulgaria,WC-1994,0,2
M-1994-36,T-33,Greece,T-50,Nigeria,WC-1994,0,2
M-1994-37,T-31,Germany,T-06,Belgium,WC-1994,3,2
M-1994-38,T-73,Spain,T-75,Switzerland,WC-1994,3,0
M-1994-42,T-09,Brazil,T-83,United States,WC-1994,1,0
M-1994-44,T-46,Mexico,T-10,Bulgaria,WC-1994,1,1
M-1994-45,T-41,Italy,T-73,Spain,WC-1994,2,1
M-1994-46,T-48,Netherlands,T-09,Brazil,WC-1994,2,3
M-1994-49,T-10,Bulgaria,T-41,Italy,WC-1994,1,2
M-1994-50,T-74,Sweden,T-09,Brazil,WC-1994,0,1
M-1994-51,T-74,Sweden,T-10,Bulgaria,WC-1994,4,0
M-1994-52,T-09,Brazil,T-41,Italy,WC-1994,0,0
M-1995-01,T-31,Germany,T-44,Japan,WC-1995,1,0
M-1995-02,T-74,Sweden,T-09,Brazil,WC-1995,0,1
M-1995-03,T-28,England,T-12,Canada,WC-1995,3,2
M-1995-04,T-53,Norway,T-50,Nigeria,WC-1995,8,0
M-1995-05,T-22,Denmark,T-04,Australia,WC-1995,5,0
M-1995-06,T-83,United States,T-14,China,WC-1995,3,3
M-1995-07,T-09,Brazil,T-44,Japan,WC-1995,1,2
M-1995-08,T-74,Sweden,T-31,Germany,WC-1995,3,2
M-1995-10,T-53,Norway,T-28,England,WC-1995,2,0
M-1995-11,T-14,China,T-04,Australia,WC-1995,4,2
M-1995-12,T-83,United States,T-22,Denmark,WC-1995,2,0
M-1995-13,T-09,Brazil,T-31,Germany,WC-1995,1,6
M-1995-14,T-74,Sweden,T-44,Japan,WC-1995,2,0
M-1995-15,T-50,Nigeria,T-28,England,WC-1995,2,3
M-1995-16,T-53,Norway,T-12,Canada,WC-1995,7,0
M-1995-17,T-14,China,T-22,Denmark,WC-1995,3,1
M-1995-18,T-83,United States,T-04,Australia,WC-1995,4,1
M-1995-19,T-44,Japan,T-83,United States,WC-1995,0,4
M-1995-20,T-53,Norway,T-22,Denmark,WC-1995,3,1
M-1995-21,T-31,Germany,T-28,England,WC-1995,3,0
M-1995-22,T-74,Sweden,T-14,China,WC-1995,1,1
M-1995-23,T-83,United States,T-53,Norway,WC-1995,0,1
M-1995-24,T-31,Germany,T-14,China,WC-1995,1,0
M-1995-25,T-14,China,T-83,United States,WC-1995,0,2
M-1995-26,T-31,Germany,T-53,Norway,WC-1995,0,2
M-1998-01,T-09,Brazil,T-64,Scotland,WC-1998,2,1
M-1998-03,T-41,Italy,T-13,Chile,WC-1998,2,2
M-1998-07,T-30,France,T-70,South Africa,WC-1998,3,0
M-1998-09,T-71,South Korea,T-46,Mexico,WC-1998,1,3
M-1998-11,T-03,Argentina,T-44,Japan,WC-1998,1,0
M-1998-16,T-31,Germany,T-83,United States,WC-1998,2,0
M-1998-19,T-13,Chile,T-05,Austria,WC-1998,1,1
M-1998-20,T-41,Italy,T-11,Cameroon,WC-1998,3,0
M-1998-23,T-50,Nigeria,T-10,Bulgaria,WC-1998,1,0
M-1998-24,T-73,Spain,T-55,Paraguay,WC-1998,0,0
M-1998-25,T-44,Japan,T-18,Croatia,WC-1998,0,1
M-1998-26,T-06,Belgium,T-46,Mexico,WC-1998,2,2
M-1998-34,T-41,Italy,T-05,Austria,WC-1998,2,1
M-1998-35,T-09,Brazil,T-53,Norway,WC-1998,1,2
M-1998-37,T-30,France,T-22,Denmark,WC-1998,2,1
M-1998-41,T-06,Belgium,T-71,South Korea,WC-1998,1,1
M-1998-42,T-48,Netherlands,T-46,Mexico,WC-1998,2,2
M-1998-45,T-03,Argentina,T-18,Croatia,WC-1998,1,0
M-1998-47,T-16,Colombia,T-28,England,WC-1998,0,2
M-1998-49,T-41,Italy,T-53,Norway,WC-1998,1,0
M-1998-50,T-09,Brazil,T-13,Chile,WC-1998,4,1
M-1998-51,T-30,France,T-55,Paraguay,WC-1998,1,0
M-1998-52,T-50,Nigeria,T-22,Denmark,WC-1998,1,4
M-1998-53,T-31,Germany,T-46,Mexico,WC-1998,2,1
M-1998-56,T-03,Argentina,T-28,England,WC-1998,2,2
M-1998-57,T-41,Italy,T-30,France,WC-1998,0,0
M-1998-58,T-09,Brazil,T-22,Denmark,WC-1998,3,2
M-1998-59,T-48,Netherlands,T-03,Argentina,WC-1998,2,1
M-1998-61,T-09,Brazil,T-48,Netherlands,WC-1998,1,1
M-1998-62,T-30,France,T-18,Croatia,WC-1998,2,1
M-1998-64,T-09,Brazil,T-30,France,WC-1998,0,3
M-1999-01,T-83,United States,T-22,Denmark,WC-1999,3,0
M-1999-02,T-14,China,T-74,Sweden,WC-1999,2,1
M-1999-03,T-09,Brazil,T-46,Mexico,WC-1999,7,1
M-1999-05,T-31,Germany,T-41,Italy,WC-1999,1,1
M-1999-07,T-51,North Korea,T-50,Nigeria,WC-1999,1,2
M-1999-08,T-04,Australia,T-32,Ghana,WC-1999,1,1
M-1999-09,T-44,Japan,T-62,Russia,WC-1999,0,5
M-1999-10,T-53,Norway,T-12,Canada,WC-1999,7,1
M-1999-11,T-04,Australia,T-74,Sweden,WC-1999,1,3
M-1999-12,T-14,China,T-32,Ghana,WC-1999,7,0
M-1999-13,T-09,Brazil,T-41,Italy,WC-1999,2,0
